H_Stride Length,H_Toe Height,H_Stride Duration,H_Swingphase Duration,H_Stancephase Duration,F_Stride Length,F_Toe Height,F_Stride Duration,F_Swingphase Duration,F_Stancephase Duration
6.7803,1.2095,1.075,0.125,0.95,3.162,0.59925,0.2375,0.05,0.1875
2.7354,0.567875,0.6125,0.2375,0.375,1.891,0.1974,0.725,0.1125,0.6125
5.7909,1.0915,1.6625,0.1375,1.525,3.193,0.7332,0.6375,0.1375,0.5
7.3623,1.48975,0.5625,0.125,0.4375,3.348,1.0998,0.5375,0.05,0.4875
2.1825,1.423375,0.5125,0.125,0.3875,3.162,1.1844,1.125,0.0625,1.0625
5.0052,1.954375,1.175,0.125,1.05,5.084,1.128,0.7125,0.05,0.6625
6.789,0.1974,1.0625,0.2125,0.85,4.557,1.4241,0.4875,0.075,0.4125
7.254,0.7614,0.775,0.0875,0.6875,3.069,1.3395,0.6625,0.0625,0.6
6.789,0.9588,1.0625,0.1625,0.9,3.968,1.4946,0.4125,0.05,0.3625
5.828,0.7614,1.125,0.1375,0.9875,4.867,1.57215,0.65,0.05,0.6
5.363,0.4794,1.0625,0.1625,0.9,4.681,1.29015,0.7,0.05,0.65
5.146,0.62745,1,0.125,0.875,3.689,1.3113,0.6125,0.0625,0.55
7.874,1.269,1.3625,0.225,1.1375,5.301,1.0434,0.4875,0.075,0.4125
5.828,0.564,1.1875,0.1125,1.075,4.805,0.9306,0.3625,0.0625,0.3
8.029,1.2972,1.2125,0.2375,0.975,4.278,1.6356,0.7125,0.075,0.6375
6.882,1.4805,1.4,0.3125,1.0875,2.48,1.4241,0.525,0.0625,0.4625
9.331,0.8742,0.5375,0.125,0.4125,3.441,1.26195,0.575,0.0625,0.5125
2.573,0.3102,0.725,0.075,0.65,5.363,1.4946,0.4625,0.0625,0.4
4.96,0.282,0.95,0.1125,0.8375,2.852,1.47345,0.375,0.075,0.3
7.161,1.2972,1.0125,0.1875,0.825,2.046,0.1128,0.425,0.0625,0.3625
7.006,1.0998,1.0875,0.1125,0.975,5.084,1.6074,0.625,0.0625,0.5625
7.068,1.47345,1.025,0.175,0.85,4.836,1.128,0.3375,0.1125,0.225
9.021,0.95175,1.4,0.175,1.225,2.914,1.4523,0.675,0.05,0.625
4.433,0.6486,0.875,0.0875,0.7875,2.79,1.54395,0.375,0.0875,0.2875
7.502,1.3536,1.45,0.1625,1.2875,5.983,1.0998,0.7375,0.075,0.6625
5.921,0.6486,0.7125,0.15,0.5625,3.689,1.2831,0.6625,0.05,0.6125
7.192,1.3677,1.375,0.225,1.15,3.844,1.3254,0.7125,0.0625,0.65
6.1401,0.966125,1.3375,0.2625,1.075,2.728,1.7766,0.15,0.0375,0.1125
7.1004,0.8555,1.1,0.1125,0.9875,0.868,0.8742,0.35,0.075,0.275
7.5369,1.025125,1.3375,0.1375,1.2,3.348,1.3395,0.6125,0.075,0.5375
7.7406,1.0325,0.875,0.1125,0.7625,4.309,1.8471,0.975,0.1,0.875
7.4787,1.5045,1.3625,0.175,1.1875,5.642,1.1562,0.7125,0.0625,0.65
7.2459,0.767,1.2375,0.15,1.0875,2.511,1.3959,0.4875,0.0375,0.45
7.5369,0.803875,1.3,0.1625,1.1375,1.953,1.551,0.725,0.0375,0.6875
4.8597,2.66975,1.025,0.0875,0.9375,4.619,0.8601,0.45,0.0625,0.3875
6.4893,1.1505,0.8625,0.1375,0.725,6.851,1.40295,0.825,0.075,0.75
6.4311,0.2655,0.2875,0.1125,0.175,4.65,1.3677,0.65,0.075,0.575
6.6348,1.231625,0.55,0.175,0.375,6.2,0.7614,0.2875,0.0625,0.225
7.1877,0.951375,1.5125,0.2,1.3125,2.511,1.7202,0.4,0.0375,0.3625
4.3068,1.13575,1.125,0.175,0.95,5.177,1.26195,0.475,0.075,0.4
6.2565,0.567875,0.625,0.1,0.525,4.247,1.2267,0.6625,0.0875,0.575
6.3438,1.349625,1.1375,0.2,0.9375,5.456,1.02225,0.475,0.0625,0.4125
4.7724,1.0915,1.15,0.175,0.975,3.193,1.41705,0.275,0.075,0.2
5.9946,1.22425,1.2,0.1625,1.0375,2.79,1.3113,0.6125,0.0625,0.55
7.1586,1.570875,1.0375,0.1375,0.9,2.976,1.48755,0.575,0.075,0.5
5.0634,0.89975,0.9875,0.175,0.8125,5.363,1.3536,0.2875,0.0625,0.225
6.0819,0.3835,0.8875,0.125,0.7625,1.488,1.71315,0.2125,0.0375,0.175
5.0343,0.767,1.0875,0.25,0.8375,1.736,0.8601,0.45,0.05,0.4
7.0713,0.708,1.3,0.1875,1.1125,4.774,2.0586,0.95,0.075,0.875
8.1771,0.60475,1.2625,0.15,1.1125,4.96,1.4523,0.75,0.0625,0.6875
7.9152,0.826,1.375,0.15,1.225,4.712,1.37475,0.2875,0.0625,0.225
5.4708,0.213875,1.0125,0.2125,0.8,3.441,1.3677,0.9,0.0875,0.8125
5.8782,0.84075,1.175,0.175,1,4.898,1.4523,0.4625,0.0625,0.4
6.0528,0.826,1.0375,0.2,0.8375,4.557,1.2972,0.55,0.0625,0.4875
5.3253,0.5015,0.85,0.175,0.675,3.472,1.07865,0.7125,0.0625,0.65
6.789,0.69795,0.9,0.2,0.7,3.658,1.0998,0.68,0.08,0.6
7.037,0.7614,0.96,0.16,0.8,3.007,0.9306,0.5,0.06,0.44
6.789,0.59925,0.9,0.14,0.76,2.697,1.05045,0.36,0.06,0.3
5.58,1.13505,0.84,0.1,0.74,4.123,0.6486,0.62,0.1,0.52
5.549,0.09165,1.06,0.18,0.88,2.759,0.48645,0.36,0.18,0.18
6.603,0.8601,1.04,0.16,0.88,2.325,0.74025,0.44,0.14,0.3
5.363,0.6345,1.34,0.3,1.04,2.883,0.76845,0.6,0.14,0.46
6.014,0.55695,1.1,0.16,0.94,3.627,0.423,0.42,0.08,0.34
6.479,0.9306,1.14,0.18,0.96,3.038,0.6345,0.36,0.06,0.3
7.099,0.66975,0.76,0.12,0.64,2.511,0.6768,0.5,0.06,0.44
5.239,0.61335,0.86,0.24,0.62,3.565,0.8319,0.42,0.1,0.32
5.239,0.3525,0.96,0.26,0.7,2.387,0.7755,0.52,0.1,0.42
6.355,0.5781,1.24,0.18,1.06,3.689,0.5499,0.52,0.08,0.44
5.332,0.141,1.16,0.18,0.98,2.759,0.72615,0.5,0.06,0.44
6.169,0.3243,1.16,0.24,0.92,4.216,0.8601,0.72,0.1,0.62
6.045,0.1551,1.2,0.22,0.98,3.72,0.705,0.64,0.08,0.56
5.704,0.6204,1.26,0.32,0.94,4.309,0.5499,0.42,0.16,0.26
5.053,0.37365,1.24,0.2,1.04,2.449,0.7332,0.74,0.1,0.64
5.611,0.5358,1.1,0.2,0.9,4.495,0.705,0.54,0.1,0.44
6.448,0.64155,1.12,0.2,0.92,3.813,0.79665,0.54,0.08,0.46
6.975,0.71205,0.78,0.18,0.6,3.782,0.7896,0.56,0.2,0.36
4.433,0.37365,0.78,0.28,0.5,3.255,0.564,0.48,0.14,0.34
3.999,0,0.56,0.12,0.44,2.511,0.5358,0.5,0.08,0.42
5.084,0.54285,1.04,0.38,0.66,2.945,0.92355,0.58,0.14,0.44
3.813,0.423,1.02,0.18,0.84,3.162,0.5358,0.6,0.12,0.48
5.208,0.41595,0.9,0.18,0.72,3.162,0.71205,0.44,0.08,0.36
